name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,356,544817163,,yes,place_of_worship,,"POLYGON ((-111.9380236 33.4241678, -111.9376535 33.4241647, -111.9376567 33.4239002, -111.9375587 33.4238994, -111.9375597 33.4238192, -111.938058 33.4238234, -111.9380566 33.4239398, -111.9380264 33.4239395, -111.9380236 33.4241678))",POINT (-111.9378326 33.4239835),1432.2,15416.1
,357,544817165,,yes,,,"POLYGON ((-111.9377373 33.4237074, -111.9375739 33.4237084, -111.9375736 33.4236317, -111.9375721 33.4234929, -111.9377355 33.4234919, -111.9377373 33.4237074))",POINT (-111.9376548 33.4236001),362.6,3902.8
House of Tricks,358,544817166,,yes,restaurant,,"POLYGON ((-111.9375355 33.4235928, -111.9371639 33.4235896, -111.9371658 33.423433, -111.9373015 33.4234341, -111.9373017 33.4234147, -111.9374315 33.4234158, -111.9374312 33.4234366, -111.9375374 33.4234375, -111.9375355 33.4235928))",POINT (-111.937351 33.4235094),624.5,6722.5
,359,544817170,,yes,,,"POLYGON ((-111.9365118 33.4235893, -111.9363827 33.423588, -111.9363842 33.4234702, -111.9364224 33.4234706, -111.9364495 33.4234492, -111.9365137 33.4234498, -111.9365118 33.4235893))",POINT (-111.9364506 33.4235229),174.2,1874.7
Residence Inn Tempe Downtown,360,544817171,,yes,,,"POLYGON ((-111.9378045 33.4253725, -111.9368014 33.425375, -111.9367997 33.4249165, -111.9373589 33.4249151, -111.9373579 33.4246325, -111.937727 33.4246316, -111.9377293 33.4252649, -111.9378041 33.4252647, -111.9378045 33.4253725))",POINT (-111.9373262 33.4250752),5545.2,59687.9
,361,544817175,,yes,,,"POLYGON ((-111.9372846 33.4247923, -111.9368113 33.4247901, -111.936813 33.4245435, -111.9372863 33.4245457, -111.9372846 33.4247923))",POINT (-111.9370488 33.4246679),1203,12949.1
,362,544817177,,,parking,,"POLYGON ((-111.9365526 33.4242367, -111.9354512 33.4242444, -111.9354501 33.4241366, -111.9354059 33.4241369, -111.9354029 33.4238356, -111.9365485 33.4238275, -111.9365526 33.4242367))",POINT (-111.9359834 33.4240345),4782.4,51477.5
,363,544817184,,roof,,,"POLYGON ((-111.9352292 33.4240952, -111.935111 33.4240521, -111.9352258 33.4238326, -111.935344 33.4238756, -111.9352292 33.4240952))",POINT (-111.9352275 33.4239639),318.4,3427.4
,364,544817190,,yes,,,"POLYGON ((-111.9386125 33.4230273, -111.9382873 33.4230287, -111.9382861 33.4228521, -111.9383774 33.4228517, -111.9383768 33.4227717, -111.938282 33.4227722, -111.9382811 33.4226325, -111.9386099 33.422631, -111.9386125 33.4230273))",POINT (-111.9384549 33.4228304),1258.3,13544.2
,365,544817191,,yes,,,"POLYGON ((-111.9354864 33.4249127, -111.935326 33.4249147, -111.9353234 33.4247741, -111.9351585 33.4247762, -111.935154 33.4245323, -111.935266 33.4245309, -111.9352689 33.424686, -111.9354821 33.4246832, -111.9354864 33.4249127))",POINT (-111.9353206 33.4247365),709.4,7635.9
Studios 5c,366,544817192,,yes,,,"POLYGON ((-111.9354034 33.4253787, -111.9351589 33.4253799, -111.935156 33.4249406, -111.9354005 33.4249394, -111.9354034 33.4253787))",POINT (-111.9352797 33.4251597),1107.1,11916.5
,367,544822336,,,parking,,"POLYGON ((-111.9398301 33.4275527, -111.9398426 33.4283899, -111.9396378 33.4283952, -111.9396378 33.428212, -111.9395292 33.4282138, -111.9389168 33.4275649, -111.939038 33.4274341, -111.9392115 33.4274952, -111.9394247 33.427537, -111.9396692 33.427551, -111.9398301 33.4275527))",POINT (-111.9394959 33.4278439),4910.3,52853.6
,368,544822338,,,parking,,"POLYGON ((-111.9398742 33.4265495, -111.9398723 33.4274554, -111.9396274 33.427455, -111.939459 33.4273944, -111.9392327 33.4273095, -111.9381185 33.4268673, -111.9381207 33.4259778, -111.9382936 33.4259781, -111.9382914 33.4268672, -111.9385778 33.4268677, -111.9385776 33.4269304, -111.9389327 33.426931, -111.9389326 33.4269955, -111.9394477 33.4269963, -111.9394487 33.4265489, -111.9398742 33.4265495))",POINT (-111.9391558 33.4269134),8189.2,88148.1
,369,544822346,,yes,,,"POLYGON ((-111.9398551 33.4258935, -111.9398568 33.4264631, -111.9396519 33.4264635, -111.9395722 33.426376, -111.9395718 33.4262567, -111.9395526 33.4262568, -111.9395524 33.4261671, -111.9395123 33.4261672, -111.9395114 33.4258942, -111.9398551 33.4258935))",POINT (-111.9396988 33.4261603),1818,19569.2
,370,544822374,,yes,,,"POLYGON ((-111.9432333 33.4262413, -111.942981 33.426238, -111.9429906 33.4257204, -111.94302 33.4256764, -111.9430699 33.4256543, -111.9431462 33.425647, -111.9432166 33.4256764, -111.943243 33.4257229, -111.9432333 33.4262413))",POINT (-111.9431126 33.4259531),1488.9,16026.2
,371,544822376,,,parking,,"POLYGON ((-111.942848 33.4272767, -111.9422693 33.4272857, -111.9422513 33.4256656, -111.9429091 33.4256416, -111.9429127 33.4262657, -111.9432363 33.4262687, -111.9432327 33.4264907, -111.9431787 33.4267787, -111.943035 33.4270457, -111.9429235 33.4271957, -111.942848 33.4272767))",POINT (-111.942665 33.4264914),13157.2,141622.8
,372,544822388,,yes,,,"POLYGON ((-111.9406152 33.4263923, -111.9401442 33.4263923, -111.9401442 33.4256622, -111.9402112 33.425608, -111.9406152 33.425608, -111.9406152 33.4263923))",POINT (-111.9403808 33.426002),3788.7,40780.7
